SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.18577286597202916
HB_BUSAVG,2017,0.15408526659786886
HB_BUSAVG,2018,0.20025775964178075
HB_BUSAVG,2019,0.24936359714841635
HB_HOUSTON,2016,0.19110530661498518
HB_HOUSTON,2017,0.17046936122567535
HB_HOUSTON,2018,0.20024629511535255
HB_HOUSTON,2019,0.2479319263413849
HB_HUBAVG,2016,0.1879636801018029
HB_HUBAVG,2017,0.15867965325640584
HB_HUBAVG,2018,0.20212435048463304
HB_HUBAVG,2019,0.25063370027349796
HB_NORTH,2016,0.18418831434228317
HB_NORTH,2017,0.15256846554350506
HB_NORTH,2018,0.20016193455232809
HB_NORTH,2019,0.24960422691912873
HB_PAN,2019,0.631579035033619
HB_SOUTH,2016,0.20903319046761398
HB_SOUTH,2017,0.15613767316135926
HB_SOUTH,2018,0.1986889978643958
HB_SOUTH,2019,0.2489661346796742
HB_WEST,2016,0.20885283974806082
HB_WEST,2017,0.24761455968272875
HB_WEST,2018,0.3025043074447881
HB_WEST,2019,0.33658810224011615
